"Forecast_Period","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95","Key1"
"2024 Q2",173338.755468551,168597.472358352,178080.03857875,166087.588690452,180589.92224665,"2024-11-04_exports_goods_services_season"
"2024 Q2",202484.75759828,199238.776216295,205730.738980265,197520.457468481,207449.057728079,"2024-11-04_gdp_total_season"
"2024 Q2",53061.595040305,52412.1739514811,53711.016129129,52068.3911934081,54054.798887202,"2024-11-04_gov_consumption_season"
"2024 Q1",6525.40188183931,6277.11326228454,6773.69050139407,6145.67720654565,6905.12655713296,"2024-11-04_gov_invest_season"
"2024 Q1",36292.8756221922,28898.1133273246,43687.6379170598,24983.5626285974,47602.1886157869,"2024-11-04_gpd_invest_business_households_season"
"2024 Q2",88173.3504079318,86264.3785301572,90082.3222857064,85253.8298607051,91092.8709551585,"2024-11-04_household_cons_season"
"2024 Q2",151708.130188599,144374.172156468,159042.088220729,140491.809290114,162924.451087084,"2024-11-04_imports_goods_services_season"
"2024 Q2",42493.9147253738,35501.0882224837,49486.7412282639,31799.3094794448,53188.5199713028,"2024-11-04_investments_season"
